filer_ein,filer_name,latest_cycle
330476427,PLANNED PARENTHOOD ACTION FUND OF THE,2016
330627955,AMERICAN FEDERATION FOR CHILDREN INC,2020
331759324,PLANNED PARENTHOOD ACTION OREGON,2008
341208942,OHIO CITIZEN ACTION,2024
350411610,Indiana Chamber of Commerce Inc,2010
352317275,IMMIGRANTS' LIST CIVIC ACTION,2024
360726140,American Hospital Association,2010
360727175,AMERICAN MEDICAL ASSOCIATION,2014
361254650,ILLINOIS CHAMBER OF COMMERCE,2014
361520690,National Association of Realtors,2024
362388785,AMERICAN FEDERATION OF LABOR AND,2016
363783551,ILLINOIS COALITION FOR IMMIGRANT,2018
363906065,Americans United for Life Inc,2012
363975580,AMERICANS FOR LIMITED GOVERNMENT INC,2018
364241052,AMERICAN ASSOCIATION OF ORTHOPAEDIC,2018
364534086,Independent Women's Voice,2020
371430158,MICHIGAN LEAGUE OF CONSERVATION,2012
380826778,MICHIGAN CREDIT UNION LEAGUE,2010
381626029,MICHIGAN CHAMBER OF COMMERCE,2014
384043084,Defenders of Wildlife Action Fund,2010
391233219,WISCONSIN MANUFACTURERS AND COMMERCE,2010
391424314,CITIZEN ACTION OF WISCONSIN INC,2022
391678012,PLANNED PARENTHOOD ADVOCATES OF,2022
391785179,FAIR WISCONSIN INC,2018
394564260,YOUR VOTE MATTERS INC,2016
410659918,Direct Selling Association,2012
411336784,AMERICAN ACADEMY OF OPHTHALMOLOGY INC,2022
411709702,PLANNED PARENTHOOD MINNESOTA NORTH,2014
450518844,Jobs with Justice,2020
450710294,PATRIOT MAJORITY USA,2018
450924894,CITIZENS FOR A SOUND GOVERNMENT,2016
452600535,AMERICAN COMMITMENT,2014
452606048,PROGRESSIVE LEADERSHIP ALLIANCE OF NEVADA ACTION,2012
452711332,THE LEGACY FOUNDATION ACTION FUND,2014
452862217,PROGRESS NORTH CAROLINA ACTION,2024
453279620,IOWA CITIZENS FOR COMMUNITY IMPROVEMENT,2020
453534007,MONTANA HUNTERS AND ANGLERS ACTION,2020
453551569,PROTECT THE HARVEST ACTION FUND,2012
453709072,CONSERVATIVE REFORM NETWORK INC,2012
453732750,STAND TOGETHER CHAMBER OF COMMERCE INC,2018
453860271,CENTER FOR POPULAR DEMOCRACY,2018
454461853,Center For Racial and Gender E,2022
454874128,WORKER POWER,2024
455076442,Brighter Future Alliance,2024
455341145,UNIDOSUS ACTION FUND INC,2024
455363321,INDIGENOUS VOTE,2020
455542575,CITIZEN AWARENESS PROJECT INC,2012
455552554,Special Operations OPSEC Education Fund Inc,2012
460539726,BEND THE ARC JEWISH ACTION INC,2020
460558330,CITIZENS FOR RESPONSIBLE ENERGY,2022
460639645,NATIONAL WOMEN'S LAW CENTER ACTION FUND,2024
460792299,ISSUE ONE ACTION,2024
460793813,PUBLIC INTEGRITY ALLIANCE INC,2018
460862496,FOOD POLICY ACTION,2016
461465650,THE PEOPLE'S LOBBY,2022
461868892,CHRISTIANS UNITED FOR ISRAEL ACTION FUND,2020
462030419,NILC IMMIGRANT JUSTICE FUND,2024
462478028,Dolores Huerta Action Fund,2022
462767395,RECLAIMING AMERICANS FREEDOM,2018
462914731,ALLIANCE FOR YOUTH ACTION,2024
463501403,COLORADANS FOR RESPONSIBLE ENERGY,2024
463508366,THE SEMINAR NETWORK INC,2016
463681383,AMERICA NEXT,2016
464126174,CATALYST OKLAHOMA INC,2016
464331510,TURNING POINT ACTION INC,2022
464651149,LATINO VICTORY PROJECT,2016
465216666,UNITED WE DREAM ACTION,2024
465333489,FOUNDATION FOR ECONOMIC PROSPERITY INC,2014
465592432,GIFFORDS,2018
471338104,EQUALITY FLORIDA ACTION INC,2020
471391635,ALLIANCE FOR A FREE SOCIETY INC,2016
471645393,BE COUNTED INC,2022
471746234,We Vote We Win,2022
